epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,163.678,0.62861,0.9565,1,0.13264,0.000369759,0.000369759,0.000369759
2,317.95,0.22131,0.96388,1,0.10551,0.000725439,0.000725439,0.000725439
3,467.16,0.19749,0.9666,1,0.0844,0.00106645,0.00106645,0.00106645
4,616.335,0.16825,0.97748,1,0.06266,0.00104501,0.00104501,0.00104501
5,766.829,0.12941,0.98485,1,0.05396,0.00102301,0.00102301,0.00102301
6,917.988,0.11341,0.98874,1,0.03801,0.00100101,0.00100101,0.00100101
7,1071.74,0.10179,0.98369,1,0.0501,0.000979013,0.000979013,0.000979013
8,1225.16,0.08929,0.9833,1,0.05272,0.000957015,0.000957015,0.000957015
9,1377.13,0.07616,0.98718,1,0.03768,0.000935018,0.000935018,0.000935018
10,1528.33,0.08012,0.98913,1,0.03291,0.00091302,0.00091302,0.00091302
11,1676.03,0.07178,0.98874,1,0.0384,0.000891022,0.000891022,0.000891022
12,1826.93,0.0638,0.99107,1,0.02796,0.000869024,0.000869024,0.000869024
13,1979.03,0.05673,0.98951,1,0.03978,0.000847026,0.000847026,0.000847026
14,2129.6,0.06146,0.98951,1,0.02868,0.000825029,0.000825029,0.000825029
15,2279.25,0.05248,0.9899,1,0.031,0.000803031,0.000803031,0.000803031
16,2431.89,0.04994,0.99107,1,0.03145,0.000781033,0.000781033,0.000781033
17,2583.76,0.05089,0.99301,1,0.0289,0.000759035,0.000759035,0.000759035
18,2735.74,0.04269,0.99146,1,0.02851,0.000737037,0.000737037,0.000737037
19,2886.42,0.0396,0.99262,1,0.02442,0.00071504,0.00071504,0.00071504
20,3040.26,0.03951,0.98951,1,0.03167,0.000693042,0.000693042,0.000693042
21,3192.68,0.0411,0.99146,1,0.03102,0.000671044,0.000671044,0.000671044
22,3345.02,0.03257,0.99301,1,0.02383,0.000649046,0.000649046,0.000649046
23,3497.01,0.04028,0.99301,1,0.02487,0.000627048,0.000627048,0.000627048
24,3648.59,0.02742,0.99456,1,0.02441,0.000605051,0.000605051,0.000605051
25,3795.28,0.03095,0.99495,1,0.02246,0.000583053,0.000583053,0.000583053
26,3941.78,0.03502,0.99146,1,0.03179,0.000561055,0.000561055,0.000561055
27,4087.8,0.03179,0.9934,1,0.02302,0.000539057,0.000539057,0.000539057
28,4235.67,0.02417,0.99456,1,0.01789,0.000517059,0.000517059,0.000517059
29,4381.31,0.02091,0.99417,1,0.01974,0.000495062,0.000495062,0.000495062
30,4527.74,0.02537,0.99417,1,0.02084,0.000473064,0.000473064,0.000473064
31,4673.49,0.02717,0.99612,1,0.0153,0.000451066,0.000451066,0.000451066
32,4820,0.02293,0.99495,1,0.01545,0.000429068,0.000429068,0.000429068
33,4965.02,0.02203,0.99456,1,0.01646,0.00040707,0.00040707,0.00040707
34,5111.21,0.01983,0.9934,1,0.01989,0.000385073,0.000385073,0.000385073
35,5255.05,0.01915,0.99301,1,0.0199,0.000363075,0.000363075,0.000363075
36,5399.96,0.01861,0.99456,1,0.02122,0.000341077,0.000341077,0.000341077
37,5543.62,0.01702,0.99301,1,0.02108,0.000319079,0.000319079,0.000319079
38,5688.66,0.01382,0.9934,1,0.02305,0.000297081,0.000297081,0.000297081
39,5832.64,0.01609,0.9934,1,0.0235,0.000275084,0.000275084,0.000275084
40,5975.64,0.01639,0.99417,1,0.0208,0.000253086,0.000253086,0.000253086
41,6121.1,0.01269,0.99379,1,0.01886,0.000231088,0.000231088,0.000231088
42,6265.1,0.01296,0.99534,1,0.01641,0.00020909,0.00020909,0.00020909
43,6408.19,0.01053,0.99495,1,0.01669,0.000187092,0.000187092,0.000187092
44,6551.58,0.00978,0.99534,1,0.01663,0.000165095,0.000165095,0.000165095
45,6696.73,0.01117,0.99456,1,0.01785,0.000143097,0.000143097,0.000143097
46,6843.29,0.00978,0.99612,1,0.01622,0.000121099,0.000121099,0.000121099
